cluster_key,cluster_size,review_verdict,max_description_similarity,same_country,match_basis,merged_by_pipeline,source_row_id,company_name,company_name_normalized,domain,linkedin_company_url,locality,country,employee_range,revenue_band,description_excerpt
germin8||,2,likely_same_company,0.587,True,normalized_name + locality,no - kept separate pending review,78895,Germin8,germin8,mitchellcartwrightbuilders.com,,,,,25M-75M,
germin8||,2,likely_same_company,0.587,True,normalized_name + locality,no - kept separate pending review,88947,Germin8,germin8,andrewgreenwald.net,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,89740,Lazada Group,lazada,yborbarbershop.com,,,,,500K-1M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,89916,Lazada,lazada,wettsteinbrothers.com,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,90057,Lazada,lazada,voucherproject.org,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,90193,Lazada Group,lazada,vantagepointrange.com,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,90617,Lazada,lazada,thermaxaf.com,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,90679,Lazada,lazada,theinnandgardencafe.com,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,91513,Lazada Group,lazada,shanghaichinesecuisine.com,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,91545,Lazada,lazada,serenityspringssalonandspa.com,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,91592,Lazada,lazada,seabrookseafood.com,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,91663,Lazada Group,lazada,saratogagrill.com,,,,,500K-1M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,91748,Lazada,lazada,sacpal.org,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,92081,Lazada,lazada,rayelectcont.com,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,92214,Lazada,lazada,professionalpropertymanagementinc.com,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,92581,Lazada Group,lazada,paolapathways.org,,,,,75M-200M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,92617,Lazada Group,lazada,pacificasc.org,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,92661,Lazada Group,lazada,ottosplace.com,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,93133,Lazada,lazada,myanmarchildrensfoundation.org,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,93567,Lazada Group,lazada,managementeducationgroup.com,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,93911,Lazada,lazada,lassenseniorservices.org,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,93917,Lazada Group,lazada,lasercenterofmiami.com,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,94007,Lazada Group,lazada,konkapot.com,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,94043,Lazada Group,lazada,kippysicecream.com,,,,,500K-1M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,94167,Lazada,lazada,joylandpark.com,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,94774,Lazada,lazada,hansduusblacksmith.com,,,,,500K-1M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,94833,Lazada,lazada,guestkeeperinnvw.com,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,94845,Lazada,lazada,growlamesa.org,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,94871,Lazada Group,lazada,gregbakerattorneys.com,,,,,5M-10M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,94877,Lazada Group,lazada,greentiffin.com,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,94878,Lazada Group,lazada,greentiercommunities.org,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,95053,Lazada Group,lazada,gettingstarted.life,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,95435,Lazada Group,lazada,fblbank.com,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,95691,Lazada Group,lazada,elementsolar.com,,,,,25M-75M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,95718,Lazada,lazada,eiffeltowertulsa.com,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,95812,Lazada Group,lazada,dunningrealestate.com,,,,,,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,95976,Lazada,lazada,dietsbazar.com,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,96388,Lazada Group,lazada,coopersalehouse.com,,,,,500K-1M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,97405,Lazada Group,lazada,bestcookingsets.com,,,,,0-500K,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,97470,Lazada,lazada,bearbeachcafe.com,,,,,1M-5M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,97919,Lazada,lazada,amfireandems.org,,,,,25M-75M,
lazada||,40,likely_same_company,0.739,True,normalized_name + locality,no - kept separate pending review,98055,Lazada,lazada,akronelectrician.net,,,,,5M-10M,
mansion77||,6,likely_same_company,0.557,True,normalized_name + locality,no - kept separate pending review,90511,MANSION77,mansion77,tinospizza.com,,,,,500K-1M,
